date,hits_hour,visits,newvisits,transactions
20140723,19,5794,2551,67
20140723,20,5693,2457,59
20140723,21,5616,2444,57
20140723,22,5539,2269,51
20140723,23,4787,2021,21
20140724,0,3555,1562,28
20140724,1,1840,837,14
20140724,2,957,438,9
20140724,3,519,230,12
20140724,4,319,154,2
20140724,5,348,171,2
20140724,6,565,283,5
20140724,7,1140,511,10
20140724,8,2665,1023,17
20140724,9,4837,1881,56
20140724,10,6354,2352,56
20140724,11,7132,2689,67
20140724,12,7205,2622,66
20140724,13,6745,2510,61
20140724,14,6335,2260,66
20140724,15,6753,2757,62
20140724,16,6440,2370,59
20140724,17,6595,2428,54
20140724,18,6438,2482,53
20140724,19,5793,2284,43
20140724,20,5541,2096,52
20140724,21,5621,2189,49
20140724,22,5737,2183,49
20140724,23,4830,1916,38
20140725,0,3596,1560,42
20140725,1,1789,759,9
20140725,2,963,424,8
20140725,3,610,261,5
20140725,4,357,167,1
20140725,5,341,179,4
20140725,6,551,285,4
20140725,7,1118,457,10
20140725,8,2716,982,34
20140725,9,4530,1716,30
20140725,10,5896,2231,53
20140725,11,6394,2392,64
20140725,12,6778,2500,69
20140725,13,5799,2212,42
20140725,14,5990,2264,68
20140725,15,5628,2163,49
20140725,16,6213,2620,39
20140725,17,6151,2498,47
20140725,18,5646,2402,40
20140725,19,5378,2285,48
20140725,20,4869,2071,36
20140725,21,5086,2163,41
20140725,22,5085,2224,46
20140725,23,4797,2060,31
20140726,0,3716,1646,42
20140726,1,2255,1096,5
20140726,2,1194,636,13
20140726,3,784,385,2
20140726,4,395,187,5
20140726,5,346,170,3
20140726,6,459,267,1
20140726,7,1069,514,7
20140726,8,2112,907,20
20140726,9,3087,1277,23
20140726,10,3978,1560,43
20140726,11,4712,1851,43
20140726,12,4670,1762,54
20140726,13,4665,1831,63
20140726,14,4430,1774,52
20140726,15,4078,1671,46
20140726,16,4139,1674,45
20140726,17,3849,1612,41
20140726,18,3852,1682,48
20140726,19,3766,1623,57
20140726,20,4008,1664,65
20140726,21,4190,1795,55
20140726,22,4128,1736,51
20140726,23,3909,1676,24
20140727,0,3525,1558,42
20140727,1,1977,907,24
20140727,2,1197,547,25
20140727,3,724,354,2
20140727,4,458,256,2
20140727,5,298,151,4
20140727,6,304,140,2
20140727,7,682,325,5
20140727,8,1407,642,8
20140727,9,2311,1038,17
20140727,10,2975,1304,37
20140727,11,3437,1462,49
20140727,12,4033,1726,51
20140727,13,4088,1753,46
20140727,14,3937,1665,32
20140727,15,3963,1686,39
20140727,16,3858,1672,47
20140727,17,4174,1750,44
20140727,18,4387,1813,54
20140727,19,4691,1966,58
20140727,20,4947,2075,54
20140727,21,5264,2195,61
20140727,22,5441,2271,56
20140727,23,4430,1730,27
20140728,0,3606,1530,48
20140728,1,1975,962,9
20140728,2,1021,473,6
20140728,3,533,259,2
20140728,4,330,165,1
20140728,5,350,148,1
20140728,6,438,197,1
20140728,7,1348,495,7
20140728,8,3564,1203,21
20140728,9,6598,2290,47
20140728,10,8989,3268,73
20140728,11,8944,3314,115
20140728,12,9697,3446,90
20140728,13,9506,3363,89
20140728,14,8986,3037,81
20140728,15,8417,2967,75
20140728,16,8532,2939,85
20140728,17,8371,2925,78
20140728,18,8375,3080,102
20140728,19,7828,2838,97
20140728,20,7641,2852,92
20140728,21,7533,2716,104
20140728,22,7800,2899,107
20140728,23,6407,2416,48
20140729,0,4548,1675,60
20140729,1,2289,919,16
20140729,2,1124,432,11
20140729,3,656,271,2
20140729,4,446,243,
20140729,5,465,203,4
20140729,6,802,350,3
20140729,7,1623,621,11
20140729,8,3821,1283,34
20140729,9,6744,2154,68
20140729,10,8336,2658,88
20140729,11,8874,2983,73
20140729,12,9097,3141,68
20140729,13,9024,3175,100
20140729,14,8494,3084,79
20140729,15,8366,2949,68
20140729,16,9251,3550,62
20140729,17,9414,3583,71
20140729,18,8650,3356,61
20140729,19,8264,3208,64
20140729,20,8220,3254,71
20140729,21,8360,3347,84
20140729,22,8503,3381,73
20140729,23,7567,3220,64
20140730,0,5298,2206,45
20140730,1,2765,1193,12
20140730,2,1566,730,9
20140730,3,940,444,4
20140730,4,569,286,3
20140730,5,526,314,2
20140730,6,811,448,3
20140730,7,1627,799,8
20140730,8,3498,1425,28
20140730,9,5980,2388,32
20140730,10,7323,2843,62
20140730,11,8266,3273,54
20140730,12,8546,3397,96
20140730,13,8687,3486,79
20140730,14,8189,3217,70
20140730,15,7891,3098,83
20140730,16,8457,3536,70
20140730,17,8432,3499,66
20140730,18,7677,3195,70
20140730,19,7545,3244,63
20140730,20,7156,3038,54
20140730,21,7258,3056,73
20140730,22,7353,3023,60
20140730,23,6531,2825,36
20140731,0,4871,2200,42
20140731,1,2730,1340,15
20140731,2,1598,813,5
